#{"t_start": 1615384293.0759432, "env_id": "calib_env-v0"}
r,l,t
-163.710956,2,7.456663
-301.62232,4,7.476763
-253.948417,3,7.487614
-274.664613,3,7.498574
-232.288488,4,7.512553
-263.243102,4,7.526438
-325.202961,5,7.542877
-200.938221,3,7.560275
-472.152391,10,7.591528
-174.365928,2,7.598658
-106.17083,1,7.603423
-110.740974,1,7.607713
-113.262095,1,7.61221
-105.450883,1,7.61646
-144.697653,2,7.630834
-163.189811,2,7.638444
-534.958868,7,7.662035
-128.536536,1,7.666298
-271.588686,3,7.677078
-102.241092,1,7.681312
-103.512663,1,7.685735
-169.491616,2,7.693004
-112.625602,1,7.697201
-183.974388,2,7.711606
-131.451784,1,7.715893
-127.386225,2,7.723825
-281.989412,4,7.737634
-326.211441,4,7.750957
-320.995712,6,7.771476
-234.631611,2,7.778703
-261.606091,4,7.798643
-171.157033,2,7.805928
-416.452493,7,7.829526
-485.56217,10,7.87132
-208.722868,3,7.881648
-508.201451,8,7.907026
-104.135157,1,7.911242
-250.315,4,7.924563
-191.013728,4,7.94566
-224.890907,2,7.953634
-124.079357,1,7.957964
-490.01927,9,7.98803
-612.156131,10,8.025792
