,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
58,58,0.007650256638934642,2021-05-03 21:00:06.439042,2021-05-03 21:05:57.418408,0 days 00:05:50.979366,128,10000,0.999,0,-1.2599469841055178,0.23765859635181477,medium,0.02,100,PRUNED
59,59,0.010116696439211832,2021-05-03 21:05:57.418660,2021-05-03 21:07:43.424933,0 days 00:01:46.006273,512,10000,0.95,10000,0.12253796031271791,0.12392524527951249,small,0.05,10,PRUNED
60,60,0.01781399749477069,2021-05-03 21:07:43.425159,2021-05-03 21:09:36.972968,0 days 00:01:53.547809,64,10000,0.9,20000,0.653720841926481,0.7889490223373418,medium,0.005,1,PRUNED
61,61,0.07431734701268754,2021-05-03 21:09:36.973231,2021-05-03 21:14:39.332416,0 days 00:05:02.359185,64,10000,0.999,0,-0.7909108836144655,0.02491664781387259,medium,0.005,300,COMPLETE
62,62,0.0296378972179649,2021-05-03 21:14:39.337202,2021-05-03 21:19:43.750713,0 days 00:05:04.413511,64,10000,0.999,0,-1.0837723968209187,0.01720408296980047,medium,0.005,300,PRUNED
63,63,0.049342690997195036,2021-05-03 21:19:43.750974,2021-05-03 21:24:44.305360,0 days 00:05:00.554386,64,10000,0.999,0,-1.5332596205117957,0.0283215739663617,medium,0.005,300,PRUNED
64,64,0.023385642305403406,2021-05-03 21:24:44.305636,2021-05-03 21:29:58.993663,0 days 00:05:14.688027,64,10000,0.999,0,-0.740353408239114,0.008965723196638336,medium,0.005,300,PRUNED
65,65,0.00743919781618861,2021-05-03 21:29:58.993903,2021-05-03 21:35:32.236315,0 days 00:05:33.242412,128,10000,0.9999,0,-0.061445961433367884,0.040604107436250494,medium,0.005,300,PRUNED
66,66,0.011816038971148553,2021-05-03 21:35:32.236543,2021-05-03 21:40:43.443482,0 days 00:05:11.206939,64,10000,0.98,0,-0.45407437295115327,0.004497961460010072,medium,0.02,300,PRUNED
67,67,0.010335471495564142,2021-05-03 21:40:43.443721,2021-05-03 21:47:04.846353,0 days 00:06:21.402632,256,10000,0.999,0,-0.2375248831734943,0.0024417571655788945,medium,0.01,300,PRUNED
68,68,0.013240485345732819,2021-05-03 21:47:04.846575,2021-05-03 21:48:51.593893,0 days 00:01:46.747318,32,10000,0.99,10000,-1.6332371034704316,0.02539532862249381,medium,0.05,10,PRUNED
69,69,0.025280561344495675,2021-05-03 21:48:51.594146,2021-05-03 21:50:44.165676,0 days 00:01:52.571530,64,10000,0.95,20000,-0.8953549403550434,0.07026198315914421,medium,0.001,1,PRUNED
70,70,0.07464050938366427,2021-05-03 21:50:44.165909,2021-05-03 22:29:35.160309,0 days 00:38:50.994400,2048,10000,0.995,0,-1.196316774226295,0.010270426121402337,big,0.005,300,PRUNED
71,71,0.019384144641638377,2021-05-03 22:29:35.160561,2021-05-03 22:34:44.455027,0 days 00:05:09.294466,64,10000,0.999,0,-0.6398263518491515,0.0071926056355516655,medium,0.005,300,PRUNED
72,72,0.03030133497687498,2021-05-03 22:34:44.455256,2021-05-03 22:39:52.474574,0 days 00:05:08.019318,64,10000,0.999,0,-0.41948895472362135,0.01819332920094458,medium,0.005,300,PRUNED
